Height,Weight
65,158
65,150
64.75,263.4
65,195
60,115
65,200
65,128
64,160
61,145
63,115
63,120
56,159
62,130
67,110
65,223
66,150
62,144
67,105
65,145
63,135
64,190
64,120
63,165
62,190
62,190
65,145
61,112
66,155
64,170
64,170
65,100
63,112
62,120
61,125
66,146
66,140
62,100
62,155
62,142
63,150
67,155
58,190
64,145
67,160
64,162
63,151
63,165
64,125
63,165
63,113
63,138
63,212
65,135
63,165
60,120
66,190
67,130
66,140
73,175
59,125
62,155
64,210
64,96
65,126
67,195
65,130
68,162
64,220
64,200
70,205
65,157
60,95
66,135
70,195
63,105
70,135
62,244
